Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 66.77      2.07     2.07     9998     0.00     0.00  dfsVisitT(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int)
 11.29      2.42     0.35 300050007     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  5.81      2.60     0.18 300204954     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  5.48      2.77     0.17     5052     0.00     0.00  dfsVisit(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int)
  4.52      2.91     0.14        1     0.14     3.02  kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
  3.55      3.02     0.11 200010000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  2.26      3.09     0.07                             _init
  0.32      3.10     0.01    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      3.10     0.00    40000     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      3.10     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      3.10     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      3.10     0.00    30000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      3.10     0.00    30000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      3.10     0.00    30000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
  0.00      3.10     0.00    20018     0.00     0.00  std::allocator<int>::~allocator()
  0.00      3.10     0.00    20018     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      3.10     0.00    20012     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      3.10     0.00    20012     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      3.10     0.00    20012     0.00     0.00  std::__new_allocator<int>::__new_allocator(std::__new_allocator<int> const&)
  0.00      3.10     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      3.10     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      3.10     0.00    20000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      3.10     0.00    20000     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      3.10     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.10     0.00    20000     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.10     0.00    10012     0.00     0.00  std::__new_allocator<int>::_M_max_size() const
  0.00      3.10     0.00    10006     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      3.10     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      3.10     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      3.10     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      3.10     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      3.10     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      3.10     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
