Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 69.44      3.00     3.00     9998     0.00     0.00  dfsVisitT(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int)
  9.03      3.39     0.39 300050007     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  6.48      3.67     0.28 300214954     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  5.79      3.92     0.25 200020000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  4.40      4.11     0.19                             _init
  3.01      4.24     0.13        1     0.13     4.13  kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
  1.85      4.32     0.08     5052     0.00     0.00  dfsVisit(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int)
  0.00      4.32     0.00    20078     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      4.32     0.00    20019     0.00     0.00  std::allocator<int>::~allocator()
  0.00      4.32     0.00    20019     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      4.32     0.00    20012     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      4.32     0.00    20012     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      4.32     0.00    20012     0.00     0.00  std::__new_allocator<int>::__new_allocator(std::__new_allocator<int> const&)
  0.00      4.32     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      4.32     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      4.32     0.00    20000     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      4.32     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      4.32     0.00    20000     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      4.32     0.00    10169     0.00     0.00  std::__new_allocator<int>::_M_max_size() const
  0.00      4.32     0.00    10085     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00      4.32     0.00    10085     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00      4.32     0.00    10085     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      4.32     0.00    10085     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      4.32     0.00    10006     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      4.32     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      4.32     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      4.32     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      4.32     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      4.32     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      4.32     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      4.32     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      4.32     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      4.32     0.00    10006     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      4.32     0.00    10006     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      4.32     0.00    10006     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      4.32     0.00    10002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      4.32     0.00    10001     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      4.32     0.00    10001     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      4.32     0.00    10001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      4.32     0.00    10001     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      4.32     0.00    10001     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      4.32     0.00    10000     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
  0.00      4.32     0.00    10000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      4.32     0.00    10000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      4.32     0.00    10000     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      4.32     0.00    10000     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      4.32     0.00    10000     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      4.32     0.00    10000     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      4.32     0.00    10000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      4.32     0.00    10000     0.00     0.00  void std::__new_allocator<int>::destroy<int>(int*)
  0.00      4.32     0.00    10000     0.00     0.00  void std::__new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      4.32     0.00    10000     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      4.32     0.00    10000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      4.32     0.00    10000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
