Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 47.37      0.18     0.18 99439949     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::size() const
 34.21      0.31     0.13        1   130.00   370.00  kosarju(std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >&)
 15.79      0.37     0.06 99596270     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  2.63      0.38     0.01                             _init
  0.00      0.38     0.00   140000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.38     0.00   110148     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.38     0.00   110148     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.38     0.00   110148     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.38     0.00   110000     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.38     0.00    80000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.38     0.00    80000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.38     0.00    60000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.38     0.00    60000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
  0.00      0.38     0.00    60000     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.38     0.00    50148     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.38     0.00    40000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >* std::__addressof<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >&)
  0.00      0.38     0.00    40000     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.38     0.00    30000     0.00     0.00  std::__new_allocator<std::_List_node<int> >::_M_max_size() const
  0.00      0.38     0.00    30000     0.00     0.00  std::_List_iterator<int>::operator++()
  0.00      0.38     0.00    30000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      0.38     0.00    30000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      0.38     0.00    30000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  0.00      0.38     0.00    30000     0.00     0.00  std::__new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.38     0.00    30000     0.00     0.00  void std::__new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.38     0.00    30000     0.00     0.00  std::__new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
