Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 76.84      2.82     2.82     9938     0.00     0.00  dfsVisitT(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int)
  6.81      3.07     0.25 299606268     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  5.45      3.27     0.20 299449947     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  3.54      3.40     0.13                             _init
  3.00      3.51     0.11 200010000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  2.18      3.59     0.08     4988     0.00     0.00  dfsVisit(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int)
  2.18      3.67     0.08        1     0.08     3.54  kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
  0.00      3.67     0.00    40000     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      3.67     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      3.67     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      3.67     0.00    30000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      3.67     0.00    30000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      3.67     0.00    30000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
  0.00      3.67     0.00    20018     0.00     0.00  std::allocator<int>::~allocator()
  0.00      3.67     0.00    20018     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      3.67     0.00    20012     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      3.67     0.00    20012     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      3.67     0.00    20012     0.00     0.00  std::__new_allocator<int>::__new_allocator(std::__new_allocator<int> const&)
  0.00      3.67     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      3.67     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      3.67     0.00    20000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      3.67     0.00    20000     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      3.67     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.67     0.00    20000     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.67     0.00    10012     0.00     0.00  std::__new_allocator<int>::_M_max_size() const
  0.00      3.67     0.00    10006     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      3.67     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      3.67     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      3.67     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      3.67     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      3.67     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      3.67     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      3.67     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      3.67     0.00    10006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      3.67     0.00    10006     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00      3.67     0.00    10006     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00      3.67     0.00    10006     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      3.67     0.00    10006     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      3.67     0.00    10006     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      3.67     0.00    10006     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      3.67     0.00    10006     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      3.67     0.00    10001     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::empty() const
